Analysis Neighborhood,Incident Year-Month,Incident Datetime
Hayes Valley,2021-03,109
Hayes Valley,2021-04,94
Hayes Valley,2021-05,116
Hayes Valley,2021-06,115
Hayes Valley,2021-07,123
Hayes Valley,2021-08,107
Hayes Valley,2021-09,99
Hayes Valley,2021-10,92
Hayes Valley,2021-11,124
Hayes Valley,2021-12,79
Hayes Valley,2022-01,89
Hayes Valley,2022-02,78
Hayes Valley,2022-03,83
Hayes Valley,2022-04,69
Hayes Valley,2022-05,85
Hayes Valley,2022-06,104
Hayes Valley,2022-07,142
Hayes Valley,2022-08,99
Hayes Valley,2022-09,105
Hayes Valley,2022-10,114
Hayes Valley,2022-11,117
Hayes Valley,2022-12,107
Inner Richmond,2018-01,45
Inner Richmond,2018-02,41
Inner Richmond,2018-03,40
Inner Richmond,2018-04,49
Inner Richmond,2018-05,46
Inner Richmond,2018-06,44
Inner Richmond,2018-07,27
Inner Richmond,2018-08,35
Inner Richmond,2018-09,34
Inner Richmond,2018-10,43
Inner Richmond,2018-11,52
Inner Richmond,2018-12,28
Inner Richmond,2019-01,54
Inner Richmond,2019-02,37
Inner Richmond,2019-03,47
Inner Richmond,2019-04,44
Inner Richmond,2019-05,40
Inner Richmond,2019-06,53
Inner Richmond,2019-07,42
Inner Richmond,2019-08,52
Inner Richmond,2019-09,63
Inner Richmond,2019-10,48
Inner Richmond,2019-11,52
Inner Richmond,2019-12,50
Inner Richmond,2020-01,48
Inner Richmond,2020-02,31
Inner Richmond,2020-03,32
Inner Richmond,2020-04,36
Inner Richmond,2020-05,51
Inner Richmond,2020-06,41
Inner Richmond,2020-07,50
Inner Richmond,2020-08,55
Inner Richmond,2020-09,47
Inner Richmond,2020-10,57
Inner Richmond,2020-11,51
Inner Richmond,2020-12,84
Inner Richmond,2021-01,60
Inner Richmond,2021-02,40
Inner Richmond,2021-03,52
Inner Richmond,2021-04,56
Inner Richmond,2021-05,50
Inner Richmond,2021-06,40
Inner Richmond,2021-07,42
Inner Richmond,2021-08,45
Inner Richmond,2021-09,56
Inner Richmond,2021-10,46
Inner Richmond,2021-11,37
Inner Richmond,2021-12,49
Inner Richmond,2022-01,32
Inner Richmond,2022-02,40
Inner Richmond,2022-03,51
