Analysis Neighborhood,Incident Year-Month,Incident Datetime
Glen Park,2022-04,7
Glen Park,2022-05,9
Glen Park,2022-06,7
Glen Park,2022-07,10
Glen Park,2022-08,6
Glen Park,2022-09,10
Glen Park,2022-10,10
Glen Park,2022-11,13
Glen Park,2022-12,5
Golden Gate Park,2018-01,24
Golden Gate Park,2018-02,12
Golden Gate Park,2018-03,17
Golden Gate Park,2018-04,14
Golden Gate Park,2018-05,9
Golden Gate Park,2018-06,12
Golden Gate Park,2018-07,9
Golden Gate Park,2018-08,23
Golden Gate Park,2018-09,22
Golden Gate Park,2018-10,16
Golden Gate Park,2018-11,20
Golden Gate Park,2018-12,17
Golden Gate Park,2019-01,13
Golden Gate Park,2019-02,17
Golden Gate Park,2019-03,13
Golden Gate Park,2019-04,14
Golden Gate Park,2019-05,9
Golden Gate Park,2019-06,6
Golden Gate Park,2019-07,20
Golden Gate Park,2019-08,29
Golden Gate Park,2019-09,12
Golden Gate Park,2019-10,15
Golden Gate Park,2019-11,9
Golden Gate Park,2019-12,11
Golden Gate Park,2020-01,19
Golden Gate Park,2020-02,13
Golden Gate Park,2020-03,10
Golden Gate Park,2020-04,14
Golden Gate Park,2020-05,5
Golden Gate Park,2020-06,9
Golden Gate Park,2020-07,19
Golden Gate Park,2020-08,6
Golden Gate Park,2020-09,7
Golden Gate Park,2020-10,11
Golden Gate Park,2020-11,2
Golden Gate Park,2020-12,7
Golden Gate Park,2021-01,10
Golden Gate Park,2021-02,11
Golden Gate Park,2021-03,9
Golden Gate Park,2021-04,10
Golden Gate Park,2021-05,10
Golden Gate Park,2021-06,19
Golden Gate Park,2021-07,13
Golden Gate Park,2021-08,11
Golden Gate Park,2021-09,14
Golden Gate Park,2021-10,15
Golden Gate Park,2021-11,10
Golden Gate Park,2021-12,12
Golden Gate Park,2022-01,12
Golden Gate Park,2022-02,6
Golden Gate Park,2022-03,12
Golden Gate Park,2022-04,20
Golden Gate Park,2022-05,5
Golden Gate Park,2022-06,16
Golden Gate Park,2022-07,24
Golden Gate Park,2022-08,12
Golden Gate Park,2022-09,12
Golden Gate Park,2022-10,13
Golden Gate Park,2022-11,11
Golden Gate Park,2022-12,14
Haight Ashbury,2018-01,28
Haight Ashbury,2018-02,23
Haight Ashbury,2018-03,22
Haight Ashbury,2018-04,25
Haight Ashbury,2018-05,35
Haight Ashbury,2018-06,24
Haight Ashbury,2018-07,21
Haight Ashbury,2018-08,23
Haight Ashbury,2018-09,19
Haight Ashbury,2018-10,45
Haight Ashbury,2018-11,25
Haight Ashbury,2018-12,27
Haight Ashbury,2019-01,27
Haight Ashbury,2019-02,29
Haight Ashbury,2019-03,20
Haight Ashbury,2019-04,24
Haight Ashbury,2019-05,30
Haight Ashbury,2019-06,28
Haight Ashbury,2019-07,30
Haight Ashbury,2019-08,56
Haight Ashbury,2019-09,19
Haight Ashbury,2019-10,44
Haight Ashbury,2019-11,16
Haight Ashbury,2019-12,28
Haight Ashbury,2020-01,32
Haight Ashbury,2020-02,23
