Analysis Neighborhood,Incident Year-Month,Number of Crimes
Russian Hill,2022-04,221
Russian Hill,2022-05,193
Russian Hill,2022-06,251
Russian Hill,2022-07,249
Russian Hill,2022-08,258
Russian Hill,2022-09,312
Russian Hill,2022-10,281
Russian Hill,2022-11,284
Russian Hill,2022-12,320
Seacliff,2018-01,12
Seacliff,2018-02,9
Seacliff,2018-03,15
Seacliff,2018-04,7
Seacliff,2018-05,13
Seacliff,2018-06,15
Seacliff,2018-07,16
Seacliff,2018-08,22
Seacliff,2018-09,7
Seacliff,2018-10,19
Seacliff,2018-11,7
Seacliff,2018-12,10
Seacliff,2019-01,15
Seacliff,2019-02,12
Seacliff,2019-03,22
Seacliff,2019-04,15
Seacliff,2019-05,15
Seacliff,2019-06,10
Seacliff,2019-07,8
Seacliff,2019-08,24
Seacliff,2019-09,11
Seacliff,2019-10,10
Seacliff,2019-11,12
Seacliff,2019-12,13
Seacliff,2020-01,13
Seacliff,2020-02,9
Seacliff,2020-03,16
Seacliff,2020-04,5
Seacliff,2020-05,18
Seacliff,2020-06,19
Seacliff,2020-07,9
Seacliff,2020-08,25
Seacliff,2020-09,15
Seacliff,2020-10,16
Seacliff,2020-11,11
Seacliff,2020-12,22
Seacliff,2021-01,9
Seacliff,2021-02,18
Seacliff,2021-03,12
Seacliff,2021-04,20
Seacliff,2021-05,27
Seacliff,2021-06,27
Seacliff,2021-07,19
Seacliff,2021-08,27
Seacliff,2021-09,31
Seacliff,2021-10,20
Seacliff,2021-11,15
Seacliff,2021-12,19
Seacliff,2022-01,17
Seacliff,2022-02,18
Seacliff,2022-03,11
Seacliff,2022-04,11
Seacliff,2022-05,30
Seacliff,2022-06,23
Seacliff,2022-07,17
Seacliff,2022-08,10
Seacliff,2022-09,18
Seacliff,2022-10,17
Seacliff,2022-11,18
Seacliff,2022-12,10
South of Market,2018-01,1111
South of Market,2018-02,1010
South of Market,2018-03,1151
South of Market,2018-04,1047
South of Market,2018-05,1072
South of Market,2018-06,1125
South of Market,2018-07,1162
South of Market,2018-08,1096
South of Market,2018-09,1021
South of Market,2018-10,1112
South of Market,2018-11,1001
South of Market,2018-12,976
South of Market,2019-01,956
South of Market,2019-02,915
South of Market,2019-03,976
South of Market,2019-04,1016
South of Market,2019-05,1023
South of Market,2019-06,935
South of Market,2019-07,1069
South of Market,2019-08,1077
South of Market,2019-09,965
South of Market,2019-10,958
South of Market,2019-11,993
South of Market,2019-12,917
South of Market,2020-01,980
South of Market,2020-02,907
South of Market,2020-03,757
South of Market,2020-04,570
South of Market,2020-05,712
South of Market,2020-06,711
South of Market,2020-07,749
South of Market,2020-08,683
South of Market,2020-09,646
South of Market,2020-10,666
South of Market,2020-11,703
South of Market,2020-12,720
South of Market,2021-01,692
South of Market,2021-02,574
South of Market,2021-03,640
South of Market,2021-04,679
South of Market,2021-05,618
South of Market,2021-06,705
South of Market,2021-07,744
South of Market,2021-08,799
South of Market,2021-09,830
South of Market,2021-10,779
South of Market,2021-11,930
South of Market,2021-12,737
South of Market,2022-01,743
South of Market,2022-02,710
South of Market,2022-03,842
South of Market,2022-04,819
South of Market,2022-05,784
South of Market,2022-06,849
South of Market,2022-07,943
South of Market,2022-08,961
South of Market,2022-09,963
South of Market,2022-10,906
South of Market,2022-11,808
South of Market,2022-12,832
Sunset/Parkside,2018-01,342
Sunset/Parkside,2018-02,358
Sunset/Parkside,2018-03,389
Sunset/Parkside,2018-04,381
Sunset/Parkside,2018-05,362
Sunset/Parkside,2018-06,367
Sunset/Parkside,2018-07,320
Sunset/Parkside,2018-08,407
Sunset/Parkside,2018-09,342
Sunset/Parkside,2018-10,385
Sunset/Parkside,2018-11,381
Sunset/Parkside,2018-12,348
Sunset/Parkside,2019-01,313
Sunset/Parkside,2019-02,313
Sunset/Parkside,2019-03,294
Sunset/Parkside,2019-04,279
Sunset/Parkside,2019-05,297
Sunset/Parkside,2019-06,279
Sunset/Parkside,2019-07,369
Sunset/Parkside,2019-08,309
Sunset/Parkside,2019-09,341
Sunset/Parkside,2019-10,388
Sunset/Parkside,2019-11,361
Sunset/Parkside,2019-12,356
Sunset/Parkside,2020-01,365
Sunset/Parkside,2020-02,306
Sunset/Parkside,2020-03,242
Sunset/Parkside,2020-04,254
Sunset/Parkside,2020-05,277
Sunset/Parkside,2020-06,274
Sunset/Parkside,2020-07,278
Sunset/Parkside,2020-08,285
Sunset/Parkside,2020-09,266
Sunset/Parkside,2020-10,339
Sunset/Parkside,2020-11,347
Sunset/Parkside,2020-12,310
Sunset/Parkside,2021-01,343
Sunset/Parkside,2021-02,257
Sunset/Parkside,2021-03,284
Sunset/Parkside,2021-04,242
Sunset/Parkside,2021-05,279
Sunset/Parkside,2021-06,284
Sunset/Parkside,2021-07,310
Sunset/Parkside,2021-08,321
Sunset/Parkside,2021-09,354
Sunset/Parkside,2021-10,311
Sunset/Parkside,2021-11,318
Sunset/Parkside,2021-12,276
Sunset/Parkside,2022-01,331
Sunset/Parkside,2022-02,276
Sunset/Parkside,2022-03,314
Sunset/Parkside,2022-04,332
Sunset/Parkside,2022-05,318
Sunset/Parkside,2022-06,368
Sunset/Parkside,2022-07,363
Sunset/Parkside,2022-08,322
Sunset/Parkside,2022-09,338
Sunset/Parkside,2022-10,372
Sunset/Parkside,2022-11,295
Sunset/Parkside,2022-12,291
Tenderloin,2018-01,1301
Tenderloin,2018-02,1229
Tenderloin,2018-03,1304
Tenderloin,2018-04,1234
Tenderloin,2018-05,1339
Tenderloin,2018-06,1146
Tenderloin,2018-07,1252
Tenderloin,2018-08,1277
Tenderloin,2018-09,1160
Tenderloin,2018-10,1318
Tenderloin,2018-11,1192
Tenderloin,2018-12,1224
Tenderloin,2019-01,1273
Tenderloin,2019-02,1118
Tenderloin,2019-03,1211
Tenderloin,2019-04,1240
Tenderloin,2019-05,1349
Tenderloin,2019-06,1315
Tenderloin,2019-07,1262
Tenderloin,2019-08,1365
Tenderloin,2019-09,1233
Tenderloin,2019-10,1111
Tenderloin,2019-11,1031
Tenderloin,2019-12,1084
Tenderloin,2020-01,1150
Tenderloin,2020-02,1161
Tenderloin,2020-03,937
Tenderloin,2020-04,761
Tenderloin,2020-05,963
Tenderloin,2020-06,959
Tenderloin,2020-07,920
Tenderloin,2020-08,907
Tenderloin,2020-09,956
Tenderloin,2020-10,990
Tenderloin,2020-11,851
Tenderloin,2020-12,971
Tenderloin,2021-01,983
Tenderloin,2021-02,898
Tenderloin,2021-03,785
Tenderloin,2021-04,946
Tenderloin,2021-05,827
Tenderloin,2021-06,904
Tenderloin,2021-07,1017
Tenderloin,2021-08,992
Tenderloin,2021-09,964
Tenderloin,2021-10,1055
Tenderloin,2021-11,881
Tenderloin,2021-12,1065
Tenderloin,2022-01,1074
Tenderloin,2022-02,839
Tenderloin,2022-03,1092
Tenderloin,2022-04,1006
Tenderloin,2022-05,1043
Tenderloin,2022-06,1242
Tenderloin,2022-07,1509
Tenderloin,2022-08,1330
Tenderloin,2022-09,1305
Tenderloin,2022-10,1128
Tenderloin,2022-11,1079
Tenderloin,2022-12,1056
Treasure Island,2018-01,16
Treasure Island,2018-02,37
Treasure Island,2018-03,45
Treasure Island,2018-04,53
Treasure Island,2018-05,40
Treasure Island,2018-06,23
Treasure Island,2018-07,52
Treasure Island,2018-08,55
Treasure Island,2018-09,30
Treasure Island,2018-10,57
Treasure Island,2018-11,42
Treasure Island,2018-12,45
Treasure Island,2019-01,32
Treasure Island,2019-02,20
Treasure Island,2019-03,20
Treasure Island,2019-04,40
Treasure Island,2019-05,32
Treasure Island,2019-06,48
Treasure Island,2019-07,42
Treasure Island,2019-08,33
Treasure Island,2019-09,51
Treasure Island,2019-10,34
Treasure Island,2019-11,31
Treasure Island,2019-12,38
Treasure Island,2020-01,43
Treasure Island,2020-02,30
Treasure Island,2020-03,28
Treasure Island,2020-04,18
Treasure Island,2020-05,53
Treasure Island,2020-06,37
Treasure Island,2020-07,45
Treasure Island,2020-08,38
Treasure Island,2020-09,27
Treasure Island,2020-10,35
Treasure Island,2020-11,32
Treasure Island,2020-12,47
Treasure Island,2021-01,37
Treasure Island,2021-02,33
Treasure Island,2021-03,34
Treasure Island,2021-04,42
Treasure Island,2021-05,60
Treasure Island,2021-06,43
Treasure Island,2021-07,43
Treasure Island,2021-08,51
Treasure Island,2021-09,45
Treasure Island,2021-10,40
Treasure Island,2021-11,42
Treasure Island,2021-12,54
Treasure Island,2022-01,39
Treasure Island,2022-02,50
Treasure Island,2022-03,53
Treasure Island,2022-04,41
Treasure Island,2022-05,53
Treasure Island,2022-06,31
Treasure Island,2022-07,38
Treasure Island,2022-08,43
Treasure Island,2022-09,38
Treasure Island,2022-10,43
Treasure Island,2022-11,26
Treasure Island,2022-12,28
Twin Peaks,2018-01,48
Twin Peaks,2018-02,18
Twin Peaks,2018-03,38
Twin Peaks,2018-04,36
Twin Peaks,2018-05,45
Twin Peaks,2018-06,39
Twin Peaks,2018-07,40
Twin Peaks,2018-08,65
Twin Peaks,2018-09,38
Twin Peaks,2018-10,64
Twin Peaks,2018-11,70
Twin Peaks,2018-12,98
Twin Peaks,2019-01,66
Twin Peaks,2019-02,56
Twin Peaks,2019-03,42
Twin Peaks,2019-04,47
Twin Peaks,2019-05,51
Twin Peaks,2019-06,61
Twin Peaks,2019-07,51
Twin Peaks,2019-08,84
Twin Peaks,2019-09,97
Twin Peaks,2019-10,127
Twin Peaks,2019-11,62
Twin Peaks,2019-12,83
Twin Peaks,2020-01,90
Twin Peaks,2020-02,43
Twin Peaks,2020-03,59
Twin Peaks,2020-04,37
Twin Peaks,2020-05,60
Twin Peaks,2020-06,64
Twin Peaks,2020-07,52
Twin Peaks,2020-08,38
Twin Peaks,2020-09,67
Twin Peaks,2020-10,43
Twin Peaks,2020-11,60
Twin Peaks,2020-12,55
Twin Peaks,2021-01,82
Twin Peaks,2021-02,45
Twin Peaks,2021-03,31
Twin Peaks,2021-04,27
Twin Peaks,2021-05,54
Twin Peaks,2021-06,29
Twin Peaks,2021-07,39
Twin Peaks,2021-08,43
Twin Peaks,2021-09,53
Twin Peaks,2021-10,49
Twin Peaks,2021-11,81
Twin Peaks,2021-12,64
Twin Peaks,2022-01,76
Twin Peaks,2022-02,34
Twin Peaks,2022-03,41
Twin Peaks,2022-04,56
Twin Peaks,2022-05,55
Twin Peaks,2022-06,45
Twin Peaks,2022-07,68
Twin Peaks,2022-08,68
Twin Peaks,2022-09,75
Twin Peaks,2022-10,48
Twin Peaks,2022-11,87
Twin Peaks,2022-12,43
Visitacion Valley,2018-01,142
Visitacion Valley,2018-02,145
Visitacion Valley,2018-03,155
Visitacion Valley,2018-04,151
Visitacion Valley,2018-05,170
Visitacion Valley,2018-06,118
Visitacion Valley,2018-07,127
Visitacion Valley,2018-08,125
Visitacion Valley,2018-09,137
Visitacion Valley,2018-10,153
Visitacion Valley,2018-11,145
Visitacion Valley,2018-12,117
Visitacion Valley,2019-01,139
Visitacion Valley,2019-02,121
Visitacion Valley,2019-03,144
Visitacion Valley,2019-04,122
Visitacion Valley,2019-05,134
Visitacion Valley,2019-06,119
Visitacion Valley,2019-07,83
Visitacion Valley,2019-08,136
Visitacion Valley,2019-09,115
Visitacion Valley,2019-10,131
Visitacion Valley,2019-11,85
Visitacion Valley,2019-12,122
Visitacion Valley,2020-01,141
Visitacion Valley,2020-02,100
Visitacion Valley,2020-03,122
Visitacion Valley,2020-04,93
Visitacion Valley,2020-05,142
Visitacion Valley,2020-06,103
Visitacion Valley,2020-07,108
Visitacion Valley,2020-08,130
Visitacion Valley,2020-09,113
Visitacion Valley,2020-10,143
Visitacion Valley,2020-11,110
Visitacion Valley,2020-12,131
Visitacion Valley,2021-01,122
Visitacion Valley,2021-02,119
Visitacion Valley,2021-03,104
Visitacion Valley,2021-04,96
Visitacion Valley,2021-05,104
Visitacion Valley,2021-06,94
Visitacion Valley,2021-07,116
Visitacion Valley,2021-08,108
Visitacion Valley,2021-09,108
Visitacion Valley,2021-10,92
Visitacion Valley,2021-11,105
Visitacion Valley,2021-12,110
Visitacion Valley,2022-01,88
Visitacion Valley,2022-02,72
Visitacion Valley,2022-03,89
Visitacion Valley,2022-04,112
Visitacion Valley,2022-05,96
Visitacion Valley,2022-06,100
Visitacion Valley,2022-07,100
Visitacion Valley,2022-08,125
Visitacion Valley,2022-09,129
Visitacion Valley,2022-10,136
Visitacion Valley,2022-11,123
Visitacion Valley,2022-12,123
West of Twin Peaks,2018-01,258
West of Twin Peaks,2018-02,217
West of Twin Peaks,2018-03,219
West of Twin Peaks,2018-04,280
West of Twin Peaks,2018-05,216
West of Twin Peaks,2018-06,210
West of Twin Peaks,2018-07,252
West of Twin Peaks,2018-08,204
West of Twin Peaks,2018-09,249
West of Twin Peaks,2018-10,250
West of Twin Peaks,2018-11,201
West of Twin Peaks,2018-12,218
West of Twin Peaks,2019-01,232
West of Twin Peaks,2019-02,189
West of Twin Peaks,2019-03,248
West of Twin Peaks,2019-04,219
West of Twin Peaks,2019-05,293
West of Twin Peaks,2019-06,215
West of Twin Peaks,2019-07,209
West of Twin Peaks,2019-08,246
West of Twin Peaks,2019-09,227
West of Twin Peaks,2019-10,285
West of Twin Peaks,2019-11,239
West of Twin Peaks,2019-12,247
West of Twin Peaks,2020-01,252
West of Twin Peaks,2020-02,253
West of Twin Peaks,2020-03,220
West of Twin Peaks,2020-04,148
West of Twin Peaks,2020-05,213
West of Twin Peaks,2020-06,165
West of Twin Peaks,2020-07,212
West of Twin Peaks,2020-08,161
West of Twin Peaks,2020-09,151
West of Twin Peaks,2020-10,192
West of Twin Peaks,2020-11,216
West of Twin Peaks,2020-12,238
West of Twin Peaks,2021-01,190
West of Twin Peaks,2021-02,214
West of Twin Peaks,2021-03,189
West of Twin Peaks,2021-04,141
West of Twin Peaks,2021-05,201
West of Twin Peaks,2021-06,238
West of Twin Peaks,2021-07,241
West of Twin Peaks,2021-08,191
West of Twin Peaks,2021-09,204
West of Twin Peaks,2021-10,211
West of Twin Peaks,2021-11,185
West of Twin Peaks,2021-12,253
West of Twin Peaks,2022-01,189
West of Twin Peaks,2022-02,207
West of Twin Peaks,2022-03,238
West of Twin Peaks,2022-04,216
West of Twin Peaks,2022-05,201
West of Twin Peaks,2022-06,209
West of Twin Peaks,2022-07,228
West of Twin Peaks,2022-08,207
West of Twin Peaks,2022-09,208
West of Twin Peaks,2022-10,227
West of Twin Peaks,2022-11,226
West of Twin Peaks,2022-12,178
Western Addition,2018-01,445
Western Addition,2018-02,348
Western Addition,2018-03,387
Western Addition,2018-04,326
Western Addition,2018-05,355
Western Addition,2018-06,361
Western Addition,2018-07,378
Western Addition,2018-08,421
Western Addition,2018-09,392
Western Addition,2018-10,423
Western Addition,2018-11,324
Western Addition,2018-12,341
Western Addition,2019-01,401
Western Addition,2019-02,297
Western Addition,2019-03,390
Western Addition,2019-04,377
Western Addition,2019-05,367
Western Addition,2019-06,443
Western Addition,2019-07,379
Western Addition,2019-08,452
Western Addition,2019-09,470
Western Addition,2019-10,405
Western Addition,2019-11,391
Western Addition,2019-12,426
Western Addition,2020-01,425
Western Addition,2020-02,438
Western Addition,2020-03,305
Western Addition,2020-04,263
Western Addition,2020-05,294
Western Addition,2020-06,318
Western Addition,2020-07,331
Western Addition,2020-08,310
Western Addition,2020-09,277
Western Addition,2020-10,243
Western Addition,2020-11,231
Western Addition,2020-12,280
Western Addition,2021-01,320
Western Addition,2021-02,206
Western Addition,2021-03,287
Western Addition,2021-04,271
Western Addition,2021-05,307
Western Addition,2021-06,302
Western Addition,2021-07,319
Western Addition,2021-08,270
Western Addition,2021-09,334
Western Addition,2021-10,348
Western Addition,2021-11,335
Western Addition,2021-12,283
Western Addition,2022-01,312
Western Addition,2022-02,339
Western Addition,2022-03,353
Western Addition,2022-04,386
Western Addition,2022-05,351
Western Addition,2022-06,321
Western Addition,2022-07,321
Western Addition,2022-08,358
Western Addition,2022-09,376
Western Addition,2022-10,378
Western Addition,2022-11,359
Western Addition,2022-12,317
