Neighborhood,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Inner Sunset,1516317.4965,1532675.01,1546821.653,1560850.825,1580836.923,1598084.1834999998,1600817.169,1594057.3505000002,1587411.4674999998,1586637.83,1586616.0125,1580082.9255,1570973.8254999998,1556022.1175,1545188.721,1540275.7659999998,1541145.3495,1547255.4835,1555696.1324999998,1565462.0655,1572945.242,1577818.3645000001,1584981.548,1591813.9054999999,1599837.8725,1607067.8369999998,1618458.937,1624482.962,1618279.363,1601293.7465,1590563.771,1593737.9330000002,1605139.132,1613263.6545000002,1618288.7259999998,1621213.4065,1623398.3465,1624608.6770000001,1628429.7,1638310.8709999998,1656124.5775000001,1679050.957,1703708.8684999999,1721076.8155,1729601.9904999998,1734590.102,1744046.13,1754512.9130000002,1767038.005,1785366.7585,1811265.6445,1832893.0715,1843574.8415,1838916.3275,1820821.9115,1790707.613,1752443.4470000002,1718301.1099999999,1688939.1325,1665054.6085
Japantown,984372.0424,988631.9055,992567.0009,997236.3048,1005188.106,1010089.755,1008660.477,1003985.91,1001924.875,1003581.57,1008133.859,1009430.919,1008804.345,1003414.661,998922.5326,996411.4978,997405.2753,1002479.594,1010271.383,1018427.118,1023946.663,1028125.942,1030878.528,1033294.065,1034916.244,1035616.679,1036939.18,1038251.972,1037136.665,1030314.866,1019403.387,1010142.372,1004945.153,1002148.603,1000206.64,999380.6669,998527.1699,994757.3407,990558.6261,987144.7221,988721.9964,992639.3576,999056.0712,1006046.637,1009518.9,1012834.326,1018603.643,1028636.367,1038956.574,1049215.126,1061014.771,1070991.773,1074716.982,1067904.229,1053530.266,1033549.861,1011628.2,994315.7919,984116.6842,978799.3803
Lakeshore,1345174.4689999998,1354126.4516666667,1363431.581,1370714.0983333334,1382990.7473333334,1394815.3406666666,1401380.1603333335,1402625.859,1400582.1133333333,1401396.8526666667,1400571.6516666666,1397069.4583333333,1391942.5146666665,1384581.9913333333,1378227.2563333332,1375321.162,1376653.705,1383248.216,1392318.2293333334,1400439.6033333335,1404541.173333333,1404016.345,1402713.3699999999,1401476.735,1403139.4236666665,1406859.186,1415131.9883333333,1420173.898,1419877.829,1411938.729,1406787.7833333332,1407980.3753333334,1413857.0250000001,1415992.5803333335,1413785.0373333332,1406414.43,1397830.5236666666,1390390.567,1390743.9083333332,1397868.4606666667,1413418.564,1432662.3503333332,1455809.2183333335,1475731.684333333,1488652.3146666668,1495818.6823333334,1504506.2566666666,1513820.400333333,1523962.0823333336,1533582.8376666668,1544630.789,1553023.8583333334,1556234.5446666665,1551315.045,1537886.8036666668,1514956.649,1487584.618,1464776.8436666664,1447579.148,1434233.2306666665
Lone Mountain/USF,1633995.098,1651130.724,1661248.927,1668473.793,1678325.62,1689555.025,1686790.957,1679533.209,1675127.915,1677352.591,1679858.53,1674309.839,1666260.828,1652157.179,1641702.334,1636524.016,1634411.506,1636373.746,1642461.514,1654982.096,1665706.204,1673582.793,1678654.185,1683325.137,1688025.177,1690807.419,1697082.992,1701159.776,1696846.96,1680879.17,1665616.957,1664939.627,1674734.559,1681437.814,1681991.659,1679478.635,1675654.604,1668581.525,1665010.025,1667534.069,1682187.441,1700052.317,1725192.899,1748471.735,1768478.091,1781799.959,1797198.775,1809449.993,1819080.348,1827309.991,1844552.004,1862107.941,1868970.575,1854070.857,1823870.414,1784666.776,1743654.418,1710339.059,1683434.918,1657997.918
Marina,2248424.7605,2259739.782,2272304.0755,2281627.8710000003,2294380.1845,2304237.343,2295178.6585,2285524.25,2278989.6425,2287589.5485,2294531.657,2293490.9814999998,2288598.6404999997,2267810.646,2248475.541,2237015.4035,2240732.8880000003,2249019.0825,2255069.259,2262536.34,2271745.4375,2283499.763,2290726.8235,2295328.808,2295673.3315000003,2295872.3285,2296198.6365,2296120.599,2286643.9225000003,2267137.051,2248081.3285,2242814.7675,2250906.3545,2258885.5590000004,2265237.454,2264368.894,2263087.3575,2259520.019,2261220.425,2267168.3515,2285959.61,2309801.134,2348785.4515,2383613.7985,2422253.42,2451279.256,2484712.821,2510834.7715,2523948.9195,2531504.046,2542393.6500000004,2554761.61,2553493.1799999997,2532111.3449999997,2498340.1075,2449377.7229999998,2389517.7885,2334218.8655000003,2293639.344,2261636.999
Mission,1155954.1575000002,1161919.2195000001,1168200.889,1173842.182,1182413.6865,1189993.031,1191031.666,1188323.2555,1186183.244,1188292.6030000001,1192301.9575,1193034.8265,1193273.372,1190674.652,1188774.8575,1188486.852,1190899.8560000001,1196909.047,1204141.391,1211674.0669999998,1218252.114,1223514.443,1229337.2999999998,1235513.781,1239549.3195,1239882.041,1239376.5,1239154.6979999999,1236323.273,1228908.759,1222460.0304999999,1220569.187,1220603.6875,1218989.122,1215904.5244999998,1212275.8805,1207136.1065,1199476.3429999999,1194003.8624999998,1189967.198,1193714.8539999998,1197904.739,1209360.1715,1219570.8115,1231503.7385,1240197.4315,1253378.2365,1265562.3195,1272621.807,1273402.271,1273435.676,1275198.6515,1273633.9485,1264174.9355000001,1247958.7655,1225546.3135000002,1200654.953,1177744.3605,1157933.1685000001,1139922.347
Mission Bay,1160609.959,1161785.217,1165086.691,1169662.055,1175712.538,1178895.333,1179919.708,1178278.091,1180870.342,1185346.251,1192900.991,1197071.066,1196092.303,1188858.297,1180210.799,1176566.172,1175623.196,1177619.747,1182036.644,1189788.298,1196768.12,1201946.306,1206822.993,1213652.169,1217907.213,1217970.548,1213908.817,1209819.225,1205860.584,1202019.188,1199635.25,1198576.227,1196831.508,1193716.023,1191695.241,1189458.424,1186663.106,1182284.134,1179142.753,1177607.574,1181195.531,1187404.775,1196136.745,1202904.468,1209497.595,1217077.003,1227968.17,1239411.656,1248128.077,1255534.549,1263536.871,1269456.63,1270329.514,1262341.113,1248288.317,1225895.175,1201081.181,1178356.499,1162131.436,1148743.648
Nob Hill,1059283.872,1061756.817,1063180.3645,1064786.9421,1069433.5854,1073061.7429,1072482.0884,1069394.9874,1067676.1738,1069541.50875,1072321.246,1073043.0185,1071065.1905999999,1064393.1219000001,1058451.89505,1055485.79755,1056536.3205,1059418.5747,1064422.86635,1070727.209,1076062.0603999998,1079872.4662000001,1081753.09925,1083736.52575,1082616.52905,1078751.196,1074804.2002,1072155.2752999999,1068820.5129,1063304.29325,1058209.671,1057677.64075,1059805.52565,1060880.116,1059693.32285,1056993.52345,1052583.19445,1046737.4163,1040081.28405,1035881.3653000001,1036404.2123499999,1040620.112,1049396.59185,1058124.9076,1066102.19625,1071281.26945,1079226.0199000002,1085998.30385,1090003.53935,1091119.0458,1093573.1084,1096598.93305,1095027.46935,1086310.2008500001,1071063.4024,1051939.50165,1031482.35305,1014033.43475,1000035.0779,986730.2579999999
Noe Valley,1822132.749,1840817.873,1855778.137,1866743.257,1883791.682,1901291.121,1902545.106,1897148.152,1888625.82,1890180.359,1890829.366,1887720.548,1879620.897,1863863.853,1848218.476,1840436.987,1839787.644,1846569.021,1856427.513,1870636.15,1882940.593,1893937.468,1905373.438,1917284.104,1924849.849,1924816.635,1926086.635,1925893.708,1919495.632,1899606.512,1884378.498,1883786.808,1895115.892,1904510.015,1909219.242,1908085.212,1902362.205,1893918.878,1889815.413,1892436.469,1904302.508,1920458.557,1948414.024,1972942.055,1996589.502,2013018.581,2035763.471,2055302.976,2066306.349,2075537.809,2087744.703,2100128.977,2102219.226,2088930.324,2058892.723,2010290.18,1955077.526,1907870.304,1872091.599,1843059.367
North Beach,1187394.12025,1198061.379,1207887.1455,1215556.201,1225045.7705,1231966.24325,1230979.2295,1224854.846,1219449.57375,1218848.09075,1221203.00125,1221015.02,1219500.23325,1213251.69375,1207736.93775,1205026.50475,1204343.2455,1207909.52725,1212228.56525,1216980.5505,1217977.896,1219856.9594999999,1223111.77975,1229446.19575,1232460.84875,1233010.99325,1230295.6430000002,1227366.57375,1222035.7645,1214070.60675,1207220.21125,1204292.71575,1203172.3372499999,1200556.03175,1196971.293,1194336.83925,1189785.6172500001,1181520.49125,1173141.445,1164991.0595,1164302.14025,1166129.97025,1175492.3175,1185088.66125,1195722.108,1206023.30775,1218846.5587499999,1231849.6172500001,1239346.226,1243153.6582499999,1244144.42575,1244810.22,1240368.4155000001,1228508.7480000001,1211058.796,1188182.74025,1162543.79025,1137886.552,1118193.796975,1102681.9275
